original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
(amino acids) tryptophan|tryptophan|amino acids and related products|amino acids|l-tryptophan|amino acids|l-tryptophan
(dl-alpha tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
(ferrous sulfate (source of iron)|ferrous sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
(filtered) water sufficient for processing|water sufficient for processing|unknown|water|water|unknown|unknown
(l-ascorbyl-2-poylyphosphate (source of vitamin c)|l-ascorbyl-2-polyphosphate (source of vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
(thiamine mononitrate (vitamin b-1)|thiamine mononitrate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
(vitamin e supplement)|vitamin e supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
100% pure beef liver|beef liver|animal products|animal products|beef|animal products|beef
100% pure chicken breast|chicken breast|animal products|animal products|chicken|animal products|chicken
100% pure chicken liver|chicken liver|animal products|animal products|chicken|animal products|chicken
100% pure duck liver|duck liver|animal products|animal products|duck|animal products|duck
100% pure lamb liver|lamb liver|animal products|animal products|lamb|animal products|lamb
100% pure ocean-caught human grade minnow|human grade minnow|marine products|marine products|fish|marine products|fish
100% pure ocean-caught human grade yellowfin tuna|human grade yellowfin tuna|marine products|marine products|fish|marine products|fish
100% pure pork liver|pork liver|animal products|animal products|pork|animal products|pork
100% pure turkey liver|turkey liver|animal products|animal products|turkey|animal products|turkey
100% pure usa sourced & made beef liver|beef liver|animal products|animal products|beef|animal products|beef
100% pure usa sourced & made chicken breast & organic catnip|chicken breast & organic catnip|animal products|animal products|chicken|animal products|chicken
100% pure usa sourced & made human grade beef liver|human grade beef liver|animal products|animal products|beef|animal products|beef
100% pure usa sourced & made human grade beef liver and wisconsin cheddar cheese|human grade beef liver and wisconsin cheddar cheese|animal products|animal products|beef|animal products|beef
100% pure usa sourced & made human grade chicken breast|human grade chicken breast|animal products|animal products|chicken|animal products|chicken
100% pure usa sourced & made human grade chicken breast & duck liver|human grade chicken breast & duck liver|animal products|animal products|chicken and duck|animal products|chicken and duck
100% pure usa sourced & made human grade chicken breast & new-zealand lamb liver|human grade chicken breast & new-zealand lamb liver|animal products|animal products|chicken and lamb|animal products|chicken and lamb
100% pure usa sourced & made human grade duck liver|human grade duck liver|animal products|animal products|duck|animal products|duck
100% pure usa sourced & made human grade turkey breast|human grade turkey breast|animal products|animal products|turkey|animal products|turkey
100% pure wild-caught & made in the usa human grade sockeye salmon|human grade sockeye salmon|marine products|marine products|fish|marine products|fish
100% pure wild-caught & made in usa human grade pacific ocean whitefish|human grade ocean whitefish|marine products|marine products|fish|marine products|fish
100% pure wild-caught & made in usa human grade shrimp|human grade shrimp|marine products|marine products|seafood|marine products|other seafood
100% pure wild-caught human grade sockeye salmon|human grade sockeye salmon|marine products|marine products|fish|marine products|fish
100% whole beef cooked in its own juices|whole beef|animal products|animal products|beef|animal products|beef
a monosaccharide complex l-rhamnose|l-rhamnose|unknown|additives|natural additives|additives|natural additives
a -tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
a -tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
acadian redfish|acadian redfish|marine products|marine products|fish|marine products|fish
acorn squash|acorn squash|unknown|unknown|unknown|unknown|unknown
added color|color additive|special purpose products|colors|artificial colors|colors|artificial colors
added color (red 3 and other artificial color)|color additive|special purpose products|colors|artificial colors|colors|artificial colors
added color (red 3 and other color)|color additive|special purpose products|colors|artificial colors|colors|artificial colors
added color fd&c red #40|fd&c red no. 40|special purpose products|colors|artificial colors|colors|artificial colors
added color red #40|fd&c red no. 40|special purpose products|colors|artificial colors|colors|artificial colors
added colors|color additive|special purpose products|colors|artificial colors|colors|artificial colors
aflalfa meal|alfalfa meal|alfalfa products|legumes|alfalfa|legumes|alfalfa
agar agar|agar-agar|unknown|marine products|algae|marine products|algae
agar-agar|agar-agar|unknown|marine products|algae|marine products|algae
ahi tuna|yellowfin tuna|marine products|marine products|fish|marine products|fish
alaska pollock meal|alaskan pollock meal|marine products|marine products|fish|marine products|fish
alaskan cod meal|alaskan cod meal|marine products|marine products|fish|marine products|fish
alaskan pollock oil|alaskan pollock oil|marine products|fats and oils|fish oil|fats and oils|fish oil
alfalfa|alfalfa|alfalfa products|legumes|alfalfa|legumes|alfalfa
alfalfa meal|alfalfa meal|alfalfa products|legumes|alfalfa|legumes|alfalfa
alfalfa nutrient concentrate|alfalfa nutrient concentrate|alfalfa products|legumes|alfalfa|legumes|alfalfa
algae|algae|fats and oils|marine products|algae|marine products|algae
algae fat extract|algae fat extract|fats and oils|fats and oils|algae fat|fats and oils|algae fat
alligator|alligator|marine products|marine products|seafood|marine products|other seafood
alligator meal|alligator meal|marine products|marine products|seafood|marine products|other seafood
almond oil (preserved with mixed tocopherols)|almond oil (preserved with mixed tocopherols)|miscellaneous products|fats and oils|almond oil|fats and oils|almond oil
almonds|almonds|miscellaneous products|nuts|almonds|nuts|almonds
aloe vera|aloe vera|special purpose products|additives|natural additives|additives|natural additives
